match_id,year,slam,match_num,player1,player2,tourney_date,tour,p1_dob,p2_dob,p1_age,p2_age,p1_total_serves,p1_serve_pts_won,p1_total_returns,p1_return_pts_won,p2_total_serves,p2_serve_pts_won,p2_total_returns,p2_return_pts_won,p1_p_serve,p1_p_return,p2_p_serve,p2_p_return,surface,P1Ace,P2Ace,P1DoubleFault,P2DoubleFault,P1Winner,P2Winner,P1UnfErr,P2UnfErr,P1BreakPoint,P2BreakPoint,P1BreakPointWon,P2BreakPointWon
2011-ausopen-1101,2011,ausopen,1101,rafael nadal,marcos daniel,2011-01-15,ATP,1986-06-03,1978-07-04,24,32,35,25,26,24,26,2,35,10,0.7142857142857143,0.9230769230769232,0.0769230769230769,0.2857142857142857,Hard,4.0,0.0,3.0,0.0,25.0,0.0,10.0,18.0,6.0,4.0,6.0,0.0
2011-ausopen-1103,2011,ausopen,1103,bernard tomic,jeremy chardy,2011-01-15,ATP,1992-10-21,1987-02-12,18,23,92,66,92,37,92,55,92,26,0.717391304347826,0.4021739130434782,0.5978260869565217,0.2826086956521739,Hard,2.0,12.0,3.0,7.0,21.0,33.0,23.0,56.0,6.0,2.0,3.0,0.0
2011-ausopen-1105,2011,ausopen,1105,john isner,florent serra,2011-01-15,ATP,1985-04-26,1981-02-28,25,29,106,76,92,32,92,60,106,30,0.7169811320754716,0.3478260869565217,0.6521739130434783,0.2830188679245283,Hard,26.0,4.0,4.0,5.0,60.0,27.0,38.0,21.0,5.0,4.0,3.0,1.0
2011-ausopen-1108,2011,ausopen,1108,donald young,marin cilic,2011-01-15,ATP,1989-07-23,1988-09-28,21,22,75,39,67,17,67,50,75,36,0.52,0.2537313432835821,0.746268656716418,0.48,Hard,1.0,8.0,3.0,0.0,11.0,33.0,25.0,28.0,1.0,11.0,0.0,6.0
2011-ausopen-1112,2011,ausopen,1112,juan ignacio chela,michael llodra,2011-01-15,ATP,1979-08-30,1980-05-18,31,30,112,62,109,38,109,71,112,50,0.5535714285714286,0.3486238532110092,0.6513761467889908,0.4464285714285714,Hard,3.0,9.0,5.0,5.0,22.0,66.0,20.0,39.0,10.0,11.0,3.0,6.0
2011-ausopen-1113,2011,ausopen,1113,david nalbandian,lleyton hewitt,2011-01-15,ATP,1982-01-01,1981-02-24,29,29,210,125,176,68,176,108,210,85,0.5952380952380952,0.3863636363636363,0.6136363636363636,0.4047619047619047,Hard,6.0,10.0,6.0,5.0,65.0,53.0,83.0,62.0,12.0,30.0,6.0,7.0
2011-ausopen-1114,2011,ausopen,1114,richard berankis,marinko matosevic,2011-01-15,ATP,,1985-08-08,27,25,86,57,95,44,95,51,86,29,0.6627906976744186,0.4631578947368421,0.5368421052631579,0.3372093023255814,Hard,7.0,5.0,1.0,4.0,31.0,22.0,44.0,44.0,15.0,4.0,7.0,3.0
2011-ausopen-1115,2011,ausopen,1115,michael russell,matthew ebden,2011-01-15,ATP,1978-05-01,1987-11-26,32,23,147,88,133,58,133,75,147,59,0.5986394557823129,0.4360902255639097,0.5639097744360902,0.4013605442176871,Hard,4.0,12.0,3.0,2.0,39.0,52.0,33.0,76.0,13.0,11.0,8.0,6.0
2011-ausopen-1116,2011,ausopen,1116,jarkko nieminen,david ferrer,2011-01-15,ATP,1981-07-23,1982-04-02,29,28,104,61,89,25,89,64,104,43,0.5865384615384616,0.2808988764044944,0.7191011235955056,0.4134615384615384,Hard,5.0,4.0,0.0,2.0,30.0,32.0,45.0,32.0,3.0,11.0,3.0,5.0
2011-ausopen-1117,2011,ausopen,1117,robin soderling,potito starace,2011-01-15,ATP,1984-08-14,1981-07-14,26,29,68,53,80,36,80,44,68,15,0.7794117647058824,0.45,0.55,0.2205882352941176,Hard,12.0,4.0,0.0,2.0,47.0,20.0,18.0,27.0,8.0,0.0,5.0,0.0
2011-ausopen-1124,2011,ausopen,1124,philipp petzschner,jo-wilfried tsonga,2011-01-15,ATP,1984-03-24,1985-04-17,26,25,129,76,166,66,166,100,129,53,0.5891472868217055,0.3975903614457831,0.6024096385542169,0.4108527131782946,Hard,14.0,11.0,7.0,5.0,57.0,49.0,48.0,46.0,18.0,13.0,5.0,6.0
2011-ausopen-1126,2011,ausopen,1126,carsten ball,pere riba,2011-01-15,ATP,1987-06-20,1988-04-07,23,22,133,89,131,48,131,83,133,44,0.6691729323308271,0.366412213740458,0.6335877862595419,0.3308270676691729,Hard,24.0,10.0,11.0,5.0,63.0,32.0,59.0,33.0,7.0,9.0,5.0,4.0
